Name,Health,Skill Check,Movement Speed,Stamina,Stealth,Extraction Speed,Light Emitting?,Ichor Immune?,Ability 1,Ability 2,Requirement 1,Requirement 2,Requirement 3,Twisted Research
Cosmo,♥ ♥ ♥,★,★ ★ ★,★ ★ ★ ★,★ ★ ★ ★,★ ★ ★,No,No,Sharing is Caring (Active): This Toon can give one of his own Hearts to heal a targeted Toon. Cannot be used when at 1 Heart. Has a Cooldown of 60.,,1000 Ichor,Own 4 or more Toons,,One of the most common Twisteds you'll encounter. Being overcome by Ichor and separated from his best friend has driven this Twisted to chase Toons down. It appears this Twisted lacks any noteworthy abilities; however.
Dandy,♥ ♥ ♥,★ ★ ★ ★ ★,★ ★ ★ ★ ★,★ ★ ★ ★ ★,★ ★ ★ ★ ★,★ ★ ★ ★ ★,,,,,Only playable to developers.,,,The star of the show. The one who runs the Ichor operation. It's all his fault.
Dyle,♥︎ ♥︎ ♥︎,★ ★ ★ ★ ★,★ ★ ★ ★ ★,★ ★ ★ ★ ★,★ ★ ★ ★ ★,★ ★ ★ ★ ★,,,,,Only playable to developers.,,,A character never seen within the show of Dandy's World. The one who operates and oversees Gardenview's transportation. He's seen the outside.	
Eclipse,♥︎ ♥︎ ♥︎,★ ★ ★,★ ★ ★ ★,★ ★ ★,★ ★,★ ★ ★,Yes,No,Full Eclipse (Passive): This Toon transforms into a werewolf in blackouts; giving off a glow; gaining 2 Stamina Stars; and a 20% Movement Speed boost.,,1500 Pumpkins,Own 5 or more Toons,,This Rare Twisted's howl summons other unoccupied Twisteds within range; triggering a pack hunt in most instances. If you don't want to get caught; avoid her on floors with large amounts of Twisted's.
Eggson,♥ ♥ ♥,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,No,No,Fixer Upper (Passive): This Toon hits a machine with his cane completing it by 20%. Only works once per machine per player.,,300  Baskets,,,One of the most common Twisteds you'll encounter. Overcome by Ichor; this Twisted has the innate urge to chase others down. Thankfully; it appears that this Twisted doesn't have any abilities to aid him.
Finn,♥︎ ♥︎ ♥︎,★ ★ ★ ★,★ ★ ★,★ ★,★ ★ ★,★ ★ ★,No,No,Reel in (Passive): This Toon gains a 33% Movement Speed boost when any Machine is completed for 10 seconds.,,500 Ichor,Finish 15 Machines,,This Twisted is filled to the brim with Ichor and uncontrolled vigor. Finn makes up for his lack of mobility by dousing Toons who have recently completed Machines in Ichor; greatly slowing their movement. Check your surroundings before completing Machines!
Flutter,♥ ♥ ♥,★ ★,★ ★ ★ ★,★ ★ ★ ★,★ ★ ★,★ ★,No,No,Floaty Dash (Active): This Toon can dash forward; drastically increasing her Movement Speed for 0.75 seconds. Has a cooldown of 45.,,1300,100% research on Twisted Flutter,,This Twisted is as dangerous as it is agile; constantly on the move with nimble speed and never stopping to rest. Flutter will quickly patrol the room for any easy targets; so be vigilant and hide when she's near.
Flyte,♥ ♥ ♥,★ ★,★ ★ ★ ★,★ ★,★ ★ ★,★ ★ ★ ★,No,No,Gust (Active): This Toon places a 'Gust' at his location for 10 seconds. Anyone who steps into the Gust will gain a 15% boost to walk and run speed for 5 seconds. Has a cooldown of 50.,,700  Baskets,50% on Twisted Flyte,,This twisted is as dangerous as it is agile; similar to Twisted Flutter. This twisted uses it's wings to quickly patrol the floor; never stopping to rest; though he is unable to match the exact speeds of Twisted Flutter.
Gigi,♥ ♥ ♥,★ ★ ★ ★ ★,★ ★ ★,★,★ ★ ★,★ ★ ★,No,No,Surprise! (Active): Can grab a random item out of their head; all items including Dandy Shop exclusives are included,,2000,50% research on Twisted Gigi,Pick up 45 rare or higher tier items,If you have your hands full with items; this Twisted is your worst nightmare. Gigi has the ability to reach out and snatch items from afar. Don't let her steal your important survival tools!
Ginger,♥ ♥ ♥,★ ★ ★,★ ★,★ ★ ★,★ ★ ★ ★,★ ★ ★,No,No,Baked With Care! (Active): This Toon can heal a nearby toon to full health at the cost of 100 tapes with a cooldown of 100. For each extra Ginger in the run; the tape cost will increase by 50 and the cooldown will increase by 30.,,700  Ornaments,50% on Twisted Ginger,,This Twisted may be slow; but don't let your guard down too quickly! She is relentless in tracking her targets down with a notable persistence. Make sure you stay of sight long enough to lose her interest!
Glisten,♥ ♥ ♥,★ ★,★ ★ ★,★ ★ ★,★ ★,★ ★ ★ ★ ★,No,No,Reflection (Active): This Toon can travel through a mirror; instantly teleporting to a targeted Toon regardless of line of sight; at the cost of gaining Confused III. Has a cooldown of 100.,,2500 Ichor,50% research on Twisted Glisten,Finish 300 Machines,This Twisted has had his sturdy ego completely shattered; and is on the verge of being overcome by Ichor. His fear and loneliness should be treated by being by his side. It is not advised to leave him to succumb to his affliction.
Goob,♥ ♥ ♥,★ ★ ★,★ ★ ★ ★,★ ★ ★ ★,★ ★,★ ★,No,No,Hug! (Active): This toon can pull other toons towards his position. Needs direct line of sight. 30s CD,,Complete 3 Mastery Quests on  Scraps,1750 Ichor,,Underestimating this Twisted's capabilities will be fatal. This Twisted is quite dangerous; due to his ability to outstretch his arms and snatch up Toons. If you spot this Twisted; get out of sight as soon as possible!
Gourdy,♥︎ ♥︎,★ ★ ★ ★ ★,★ ★ ★ ★,★,★,★ ★ ★ ★ ★,No,No,Trick or Treat (Active): This Toon applies a random 20% boost for 15 seconds to all Toons within range. Has a cooldown of 35.,Sugar Rush (Passive): Provides a 20% speed boost to all Players for 5 seconds when the Elevator opens and when Panic Mode begins.,3000  Pumpkins,2500  Ichor,Obtain 100% research on  Twisted Gourdy,One of the Holiday Main Characters of Dandy's World. Unstable and on the verge of being overcome by Ichor. If Toons fail to appease him; he reacts in blinded distress; reaching an uncontrollable state where his heightened speed and awareness make an escape nearly impossible.
Looey,♥ ♥ ♥,★ ★ ★ ★,★ ★ ★,★ ★ ★,★ ★,★ ★ ★,No,No,Heart of Helium (Passive): For each missing heart this toon has they gain 20% movement speed. At 1 heart; this toon gains 40% more speed multiplier. His speed is reduced back when healed.,,1000,Complete all Mastery Quests on Poppy,,While this Twisted is more common than others; Looey is still a dangerous foe.Overcome with Ichor his physical changes have provided him a higher point of view compared to other common Twisteds; able to see further and retain attention within chase for longer periods of time.
Pebble,♥ ♥,★ ★ ★,★ ★ ★ ★ ★,★ ★ ★ ★,★ ★ ★,★,No,No,Speak! (Active): This Toon can bark loudly; drastically decreasing Stealth to a value of -40 and alerting any Twisteds nearby to his location. Has a cooldown of 60.,Fetch! (Passive): This Toon can sniff out items; causing them to be highlighted when in the Toon's vicinity.,3750,100% Research on Twisted Pebble,100% Mastery on Toodles,One of the Main Characters of Dandy's World. This ferocious beast will stop at nothing to defend his owner and protect his territory. Highly dangerous due to his immense speed and powerful eyesight.
Poppy,♥ ♥ ♥,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,No,No,Panic Pop (Passive): This Toon receives a 50% Speed boost for 3 seconds when attacked.,,A: Free if chosen,,,One of the most common Twisteds you'll encounter. Overcome by Ichor; this Twisted has the innate urge to chase others down. Thankfully; it appears that this Twisted doesn't have any abilities to aid her.
Ribecca,♥︎ ♥︎ ♥︎,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,No,No,The Undead (Passive): Ribecca is immune to all applied debuffs (does not include trinkets),,300 Pumpkins,,,One of the most common Twisteds you'll encounter. Overcome by Ichor; this Twisted has the innate urge to chase others down. Thankfully; it appears that this Twisted doesn't have any abilities to aid her.
Rodger,♥ ♥ ♥,★ ★ ★,★ ★,★ ★ ★,★ ★ ★,★ ★ ★ ★,No,No,Detective (Passive): This Toon gains twice the amount of Research from Capsules and encountering Twisteds.,,1000 Ichor,50% Research on any Twisted,,This deceptive Twisted lures unsuspecting Toons with the promise of knowledge. When the opportunity strikes; this Twisted rises from the ground and attacks any Toon who ventures too close. Be sure to have a keen and careful eye!
Rudie,♥ ♥ ♥,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,Yes,No,Antler Charge: This Toon uses his antlers to quickly charge forward in a short burst; increasing his movement speed for 0.4 seconds. Has a Cooldown of 23.,,300  Ornaments,,,One of the most common Twisteds you'll encounter. Overcome by Ichor; this Twisted has the innate urge to chase others down. Thankfully; it appears that this Twisted doesn't have any abilities to aid him.
Scraps,♥ ♥ ♥,★ ★,★ ★,★ ★ ★ ★ ★,★ ★ ★,★ ★ ★,No,No,Crafty Grapple (Active): This Toon can pull herself towards another Toon or Machine's targeted position. Needs direct line of sight. Has a cooldown of 25.,,1500 Ichor,50% Research on  Twisted Goob,,This Twisted is similar to her brother Goob in terms of abilities. She possesses a snake-like tail that she can outstretch and attack Toons from a great distance. Be sure to get out of sight when you see her!
Shelly,♥ ♥,★ ★ ★ ★ ★,★ ★ ★,★ ★,★ ★ ★,★ ★,No,No,Inspiration (Active):This Toon can boost the Extraction Speed of a selected Toon by 75% for 15 seconds. Has a cooldown of 60.,Problem Solver (Passive):This Toon gains a 25% Movement Speed boost when any Machine is completed for 10 seconds.,4250 Ichor,100% Research on Twisted Shelly,Complete all Mastery Quests on Tisha,"One of the Main Characters of Dandy's World. The blatant ignorence of her existence by everyone around her has enraged her. Her presence makes every Toon extract slower; and she uses her form to her advantage in terms of speed."""
Shrimpo,♥ ♥ ♥,★,★,★,★,★,No,No,Bully (Passive): Stealth is drastically lower than any other Toon. Only play this Toon if you are looking for a challenge.,,100 Ichor,,,While this Twisted is more common than others; Shrimpo is not to be messed with. Overcome by Ichor; this Twisted's bullying has become deadly. He may be slower than the average Twisted; but he has trained eyesight for Toons to bully. Don't get caught!
Soulvester,♥︎ ♥︎ ♥︎ ♥︎,★ ★ ★ ★ ★,★,★,★ ★ ★,★ ★ ★ ★ ★,Yes,Yes,Knightly Armor (Passive): This toon has an extra heart and is immune to damage from ranged attacks,,700 Pumpkins,50% research on  Twisted Soulvester,,A more uncommon Twisted; Soulvester is driven by his desire to guard. Often; this Twisted is seen standing guard by machines. He is slower than most Twisteds; but his higher interest time makes him more difficult to lose.
Sprout,♥ ♥,★ ★,★ ★ ★ ★,★ ★ ★ ★ ★,★ ★ ★,★ ★,No,No,Baked Sweets (Active): This Toon can heal a targeted Toon by 1 heart for the cost of 100 tapes. Has a cooldown of 100 seconds.,Overprotective (Passive): This Toon can see where all other alive Toons are; along with their current Health status.,4500 Ichor,100% research on Twisted Sprout,Complete all mastery quests on Cosmo,One of the Main Characters of Dandy's World. This Twisted makes up for his slower speed by summoning deadly tendrils from the ground that strike at nearby Toons. Do not let this lonely Twisted trap you with him!
Squirm,♥ ♥ ♥,★ ★ ★,★ ★ ★,★ ★,★ ★,★ ★ ★ ★ ★,No,No,Distressed Delicacy (Active): Hold-down your ability to eat books; gaining 100% extraction speed for 10 seconds. Proximity to a bookshelf make this Toon's cooldown recover twice as fast. Cooldown of 80 seconds.,,3000,Own 3+ Titles,50% Research on  Twisted Squirm,his ravenous Twisted hangs from the ceiling looking for books to eat. Look up; or you might just end up in this Twisted's grip. if caught; your best chance is to struggle free before it's too late.
Teagan,♥ ♥ ♥,★ ★ ★,★ ★ ★,★ ★ ★ ★,★ ★,★ ★ ★,No,No,Tea Time (Active): This toon can spend 75 tapes to heal themselves by 1 heart. Has a cooldown of 100.,,1250 Ichor,Buy 25 items from Dandy's shop,,A more uncommon Twisted; Teagan has let her greed take over. This twisted will steal a considerable amount of a Toon's Tapes when she attacks them. Be sure to spend your tapes while you have them!
Tisha,♥ ♥ ♥,★ ★ ★ ★,★ ★ ★ ★,★ ★,★ ★ ★,★ ★,No,No,Tidy Up! (Active): This Toon can create a pulse that increases the movement speed of Toons around her by 33% for 5 seconds. Has a cooldown of 50.,,500 Ichor,,,This commonly seen Twisted is most often spotted moving from place to place spending a considerably long time cleaning the floor. Interrupting her work would not be wise!
Toodles,♥ ♥ ♥,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★ ★,★ ★,No,No,Beginner's Luck (Active): This Toon can roll for a 15% boost to a random Stat that lasts for 10 seconds. Has a cooldown of 25.,,350 Ichor,Survive 15 floors,,Do not let this Twisted's size fool you. Toodles is a volatile Twisted that chases Toons with her high speed. Thankfully; this Twisted's attention span is rather low; so if you can get out of sight you should be safe from her.
Vee,♥ ♥,★ ★ ★ ★,★ ★,★ ★ ★,★ ★,★ ★ ★ ★ ★,Yes,No,Mic Check (Active): This Toon can highlight all Twisteds on the Floor for 5 seconds. Has a Cooldown of 50.,Camera Hijack (Passive): This Toon will have the 2 nearest uncompleted Machines highlighted for them.,4500 Ichor,100% research on Twisted Vee,Complete all mastery quests on Brightney,One of the Main Characters of Dandy's World. This Twisted has eyes everywhere; messing up Machines would not be advised. She will also attempt to distract Toons with worthless ads and pop-ups while she goes for the kill.
Waxwell,♥ ♥ ♥,★ ★ ★ ★ ★,★ ★ ★ ★ ★,★,★ ★,★ ★,Yes,No,"Ignite (Active): This Toon ignites; removing his Tired debuff and creating a flame trail for 10 seconds. Touching the trail grants Toons the Ignited buff; causing ability cooldowns to recover 2x as fast for 5 seconds. Has a cooldown of 60.",,,,,
Yatta,♥ ♥ ♥,★ ★ ★,★ ★ ★ ★,★,★ ★,★ ★ ★ ★ ★,No,No,Piñata Party (Passive): This toon drops 2 random candy items after completing a machine; and 4 random candy items when injured.,,2000 Ichor,Own 15 or more toons.,50% research on Twisted Yatta,While this Twisted is more common than others; Yatta is dangerous when running on her tails. Overcome with Ichor; her tails provide her with a higher run speed compared to other common Twisteds.
